track_id,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3045282991,POP (feat. La Mano 1.9),Gazo,POP (feat. La Mano 1.9),748.74,218000,True,0.65,0.7,5,-6.0,1,0.05,0.15,0.01,0.12,0.6,120.0,4,pop
3881984711,Pop,Harry Styles,"Kiss All The Time. Disco, Occasionally.",809.185,216000,False,0.65,0.7,5,-6.0,1,0.05,0.15,0.01,0.12,0.6,120.0,4,pop
1684004277,POP (feat. Guy2Bezbar),Josman,M.A.N (Black Roses & Lost Feelings),671.574,213000,True,0.65,0.7,5,-6.0,1,0.05,0.15,0.01,0.12,0.6,120.0,4,pop
15586286,Rock with You (Single Version),Michael Jackson,Off the Wall,925.79,220000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
491446942,rockstar,Post Malone,beerbongs & bentleys,845.803,219000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
1144863,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,825.071,283000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
109844090,Rock & Roll (Full Length Version; 2015 Remaster),The Velvet Underground,Loaded (2015 Remaster),524.609,283000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2634178712,Rock This Party (Everybody Dance Now),Bob Sinclar,Rock This Party (Everybody Dance Now),893.489,245000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3642252902,Rock (feat. Baby Gang),Lacrim,Rock (feat. Baby Gang),568.564,180000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
4619463,Rock That Body,The Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (Deluxe Version),901.838,268000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
970410,Rock Your Body,Justin Timberlake,Justified,840.212,268000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3911181,Rock & Roll Queen,The Subways,Rock & Roll Queen (US DMD single),606.595,169000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
69928673,"Rock and Roll, Pt. 2",Gary Glitter,Hey Song (The Best Of),451.658,180000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3035095241,Rock,Stepz,Rock,592.539,145000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3310800911,Rock & Roll,Oliver Malcolm,Rock & Roll,524.44,139000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
1356535832,Rock,Olamide,Rock,320.516,185000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
787938,Rock & Roll,Eric Hutchinson,Sounds Like This,417.931,240000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
84340031,Rock & Roll Band,Boston,Boston,397.731,180000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3638238182,ROCK,Moura Dj,Unknown,370.742,119000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
414328792,Rock,Pleymo,Rock,341.534,200000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3572812151,ROCK & ROLL,ITZY,Collector,332.981,185000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3517634731,THE ROCK,Forrest Frank,THE ROCK,360.46,168000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2167434147,_________ Rock ___ (2/3),C'typeencostume,_________ Rock ___ (2/3),329.727,284000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3075621451,rock (slowed + reverb),BadKarma,rock (slowed + reverb),313.616,165000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
471975322,Rock,Plies,Rock,305.818,174000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
1642054452,ROCK,Stray Kids,SKZ2021,326.738,193000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2044097917,"The Rock (From ""The Rock"")",The City of Prague Philharmonic Orchestra,The Best of Hans Zimmer,318.467,306000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2221221937,Rock My Body,R3HAB,Rock My Body,813.883,137000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3081706951,I Love Rock 'N Roll,Joan Jett and the Blackhearts,Rock Clássico,872.462,175000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
69962765,Rock the Casbah (Remastered),The Clash,Combat Rock (Remastered),780.498,223000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
447557282,Rock Of Ages,Def Leppard,Pyromania,545.85,247000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
92208750,Rock or Bust,AC/DC,Rock or Bust,606.508,184000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2698330732,Rock the Boat,Bob Sinclar,Disco Crash,594.918,234000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2133650,Rock Steady,Aretha Franklin,Soul Queen,557.598,193000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
88003855,Rock and Roll (Remaster),Led Zeppelin,Led Zeppelin IV (Deluxe Edition),651.651,220000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
118189968,Rock Is Dead,Marilyn Manson,Mechanical Animals,572.662,189000,True,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
2675537,Rock And Roll All Nite,Kiss,Ikons,724.342,167000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
69070707,Rock This Town,Stray Cats,Rock This Town - The Collection,511.752,158000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
3785497562,ROCK THE BOAT,XG,THE CORE - 核,520.277,171000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
13275874,Rock Star,Hannah Montana,Best Of Hannah Montana,560.348,178000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
1758543017,Hummell Gets The Rockets,Nick Glennie-Smith,The Rock,328.084,385000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
14299460,Rock You Like a Hurricane (2011),Scorpions,Comeblack,768.832,254000,False,0.5,0.85,7,-5.0,1,0.06,0.05,0.05,0.18,0.45,130.0,4,rock
